,roles,companies,locations,skills,experience
776,urgent opening for senior data scientists,abzooba india infotech private limited,['pune'],"['it skills', 'python', 'machine learning', 'artificial intelligence', 'big data', 'pyspark', 'time series analysis', 'natural language processing']",6-10 yrs
777,associate data scientist - crm & loyalty,shell india markets private limited,['bangalore/bengaluru'],"['direct marketing', 'multivariate analysis', 'r', 'data scientist', 'factor analysis', 'customer analytics', 'time series', 'market basket analysis']",6-10 yrs
778,data scientist - business analytics,philips india limited,['bangalore/bengaluru'],"['process automation', 'cloud computing', 'change management', 'operational excellence', 'business analytics', 'analytical', 'consulting', 'data mining']",6-10 yrs
779,data scientist,schneider electric india pvt. ltd.,['bangalore/bengaluru'],"['computer science', 'data analysis', 'automation', 'manager quality assurance', 'artificial intelligence', 'analytical', 'mysql', 'machine learning']",6-10 yrs
780,dbcg ind - gamma senior data scientist,boston consulting group,"['mumbai', ' new delhi', ' chennai', ' bangalore/bengaluru']","['computer science', 'advanced analytics', 'sds', 'data science', 'artificial intelligence', 'project management', 'machine learning', 'management consulting']",6-10 yrs
781,senior data scientist,eclerx services ltd.,"['pune', ' mumbai (all areas)']","['artificial intelligence', 'machine learning', 'python', 'predictive modeling', 'text analytics', 'natural language processing', 'hypothesis testing', 'database design']",6-10 yrs
782,senior data scientist | ces it ltd | cmmi level 5,ces ltd.,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr']","['analytical', 'keras', 'object detection', 'tensorflow', 'pytorch', 'opencv', 'algorithm', 'python']",6-10 yrs
783,data scientist/senior data scientist,ganit business solutions private limited,"['hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']","['predictive modeling', 'manufacturing analytics', 'python', 'data science', 'r', 'data quality', 'algorithms', 'vba']",6-10 yrs
784,senior data scientist,flipkart internet private limited,['california'],"['pytorch', 'tensorflow', 'data science', 'nlp', 'artificial intelligence', 'keras', 'computer vision', 'deep learning']",6-10 yrs
785,data scientist,cronj it technologies private limited,['bangalore/bengaluru'],"['it skills', 'python', 'data science', 'aws', 'tensorflow', 'java', 'c++', 'c']",6-10 yrs
786,staff data scientist,walmart global tech india,['other'],['na'],6-10 yrs
787,hiring for lead/senior data scientist - morningstar (product based),morningstar,['mumbai (all areas)'],"['it skills', 'python', 'testing', 'cloud', 'oracle', 'aws', 'azure', 'data science']",6-10 yrs
788,senior data scientist - bfsi,viaprom technologies pvt ltd,['mumbai'],"['data science', 'sas macros', 'sas eg', 'r', 'sas sql', 'sas', 'data scientist', 'sas di studio']",6-10 yrs
789,lead data scientist/senior lead data scientist,bajaj finserv,['pune'],"['gis', 'product management', 'computer science', 'postgresql', 'tibco', 'sdk', 'analytics', 'financial services']",6-10 yrs
790,senior data scientist/senior data scientist,bajaj finserv,['pune'],"['product management', 'computer science', 'analytical', 'olap', 'scrum', 'oltp', 'financial services', 'sql']",6-10 yrs
791,senior data scientist/senior data scientist,bajaj finserv,['pune'],"['product management', 'computer science', 'product quality', 'google analytics', 'agile', 'scrum', 'data privacy', 'seo']",6-10 yrs
